# Stable Matching code - Data file - Subsection 6.9
# MA424 Final project - 2019/20
# Author: 46286


param n:= 30; # number of internships
param m:= 30; # number of applicants / students

param StdPref: 	
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30:=
1	9	3	8	6	10	7	1	5	4	2	45	41	34	51	32	58	60	46	50	39	55	41	39	43	43	56	44	41	43	40
2	9	5	4	6	1	10	2	7	3	8	54	53	39	59	53	38	39	59	49	40	36	42	33	35	50	34	31	47	51	33
3	4	5	2	7	6	1	9	3	8	10	38	44	47	43	49	41	59	45	35	49	50	44	46	48	42	53	42	36	59	46
4	1	3	7	5	4	2	8	10	9	6	57	58	57	58	54	55	56	36	40	45	53	35	32	53	56	38	45	50	60	59
5	7	5	3	6	9	4	8	2	1	10	49	56	51	48	35	51	32	41	57	52	48	60	55	38	46	36	56	40	55	52
6	3	5	9	2	7	10	1	8	6	4	50	49	45	37	60	35	38	38	60	56	45	53	42	36	45	39	49	46	53	57
7	5	2	1	10	7	6	9	8	3	4	35	57	49	50	31	52	40	54	41	53	49	52	58	51	53	51	35	55	49	50
8	4	6	5	3	2	1	9	10	7	8	33	43	43	34	50	59	34	48	46	54	31	46	43	34	48	41	46	44	38	43
9	4	5	8	3	2	10	9	7	1	6	44	51	33	31	33	60	57	53	53	47	44	43	47	41	54	52	59	49	40	60
10	5	7	8	1	4	3	6	10	2	9	53	46	55	49	45	33	33	51	34	46	32	38	54	31	57	58	52	56	46	54
11	8	1	5	4	7	3	2	10	9	6	47	40	60	53	47	57	43	60	45	55	37	45	35	50	32	49	32	32	32	51
12	5	8	2	9	6	4	1	3	7	10	60	48	35	57	43	39	31	47	56	34	35	48	51	32	33	46	51	53	54	41
13	7	3	5	6	10	4	8	9	1	2	43	32	37	54	36	54	48	58	33	38	39	40	53	47	52	40	60	60	48	38
14	8	9	10	6	7	2	4	5	3	1	40	60	41	41	40	37	51	37	39	31	40	37	36	52	60	31	39	35	44	53
